Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Notes
Dps,Head,PreRaid,Wastewalker Helm,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,237 Armor; 30 Sta; 56 AP; 35 Hit,Epoch Hunter
Dps,Head,PreRaid,Mask of the Deceiver,Dungeon Token,,,,283 Armor; 32 Agi; 36 Sta; 64 AP,50 Badges of Justice
Dps,Head,PreRaid,Helm of the Claw,Quest (Dung),The Warlord's Hideout (SV),,,237 Armor; 25 Agi; 21 Sta; 66 AP,
Dps,Shoulder,PreRaid,Wastewalker Shoulderpads,Dungeon Drop,,Auchenai Crypts,Heroic,219 Armor; 25 Agi; 13 Sta; 34 AP; 35 Hit,Avatar of the Martyred
Dps,Shoulder,PreRaid,Expedition Scout's Epaulets,Quest (Dung),Fel Embers (SH),,,217 Armor; 25 Agi; 50 AP,
Dps,Shoulder,PreRaid,Blackened Leather Spaulders,Reputation,,,,219 Armor; 20 Agi; 70 AP,Kurenai - Revered
Dps,Shoulder,PreRaid,Talbuk Hide Spaulders,Reputation,,,,219 Armor; 20 Agi; 70 AP,The Mag'har - Revered
Dps,Back,PreRaid,Vengeance Wrap,Auction House,,,,89 Armor; 52 AP,
Dps,Back,PreRaid,Auchenai Death Shroud,Dungeon Drop,,Auchenai Crypts,Heroic,78 Armor; 15 Agi; 15 Sta; 36 AP,Avatar of the Martyred
Dps,Back,PreRaid,Blood Knight War Cloak,Dungeon Token,,,,93 Armor; 23 Agi; 22 Sta; 48 AP,25 Badges of Justice
Dps,Back,PreRaid,Delicate Green Poncho,Quest,Bring Me The Egg! (Nag),,,66 Armor; 14 Agi; 19 Sta; 28 AP,
Dps,Chest,PreRaid,Primalstrike Vest,Auction House,,,,379 Armor; 38 Agi; 39 Sta; 108 AP,
Dps,Chest,PreRaid,Wastewalker Tunic,Dungeon Drop,,Blood Furnace,Heroic,292 Armor; 28 Agi; 36 Sta; 56 AP; 35 Hit,Keli'dan the Breaker
Dps,Chest,PreRaid,Hauberk of Karabor,Quest,Varedis Must Be Stopped (SMV),,,278 Armor; 25 Agi; 18 Sta; 90 AP,
Dps,Wrist,PreRaid,Primalstrike Bracers,Auction House,,,,159 Armor; 15 Agi; 21 Sta; 64 AP,
Dps,Wrist,PreRaid,Nightfall Wristguards,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,153 Armor; 24 Agi; 22 Sta; 46 AP,Epoch Hunter
