Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Notes
Elemental,Head,PreRaid,Lightning Crown,Auction House,,,,"577 Armor; 43 Spell Crit

Equip: Increases damage done by Nature spells and effects by up to 66",World Drop
Elemental,Head,PreRaid,Spellstrike Hood,Auction House,,,,145 Armor; 16 Sta; 12 Int; 46 Healing; 46 Spell Dmg; 16 Spell Hit; 24 Spell Crit,
Elemental,Head,PreRaid,Hood of Oblivion,Dungeon Drop,,Arcatraz,Normal,127 Armor; 27 Sta; 32 Int; 40 Healing; 40 Spell Dmg,Harbinger Skyriss
Elemental,Head,PreRaid,Incanter's Cowl,Dungeon Drop,,Mechanar,Normal,127 Armor; 15 Sta; 27 Int; 17 Spi; 29 Healing; 29 Spell Dmg; 19 Spell Crit,Pathaleon the Calculator
Elemental,Head,PreRaid,Storm Master's Helmet,Dungeon Token,,,,632 Armor; 24 Sta; 32 Int; 37 Healing; 37 Spell Dmg; 24 Spell Crit,50 Badges of Justice
Elemental,Head,PreRaid,Shamanistic Helmet of Second Sight,Quest,"Teron Gorefiend, I am... (SMV)",,,"503 Armor; 12 Sta; 15 Int; 35 Healing; 35 Spell Dmg; 4 MP5; 24 Spell Crit

Equip: Allows the bearer to see into the ghost world while in Shadowmoon Valley",
Elemental,Shoulder,PreRaid,Mana-Etched Spaulders,Dungeon Drop,,Slave Pens,Heroic,117 Armor; 25 Sta; 17 Int; 20 Healing; 20 Spell Dmg; 35 Spell Hit; 16 Spell Crit,Quagmirran
Elemental,Shoulder,PreRaid,Pauldrons of Wild Magic,Dungeon Drop,,Slave Pens,Heroic,583 Armor; 21 Sta; 28 Int; 33 Healing; 33 Spell Dmg; 23 Spell Crit,Quagmirran
Elemental,Shoulder,PreRaid,Spaulders of the Torn-heart,Quest,The Cipher of Damnation - The Third Fragment Recovered (SMV),,,111 Armor; 10 Sta; 7 Int; 8 Spi; 40 Healing; 40 Spell Dmg; 18 Spell Crit,
Elemental,Back,PreRaid,Sethekk Oracle Cloak,Dungeon Drop,,Sethekk Halls,Normal,78 Armor; 18 Sta; 18 Int; 22 Healing; 22 Spell Dmg; 12 Spell Hit,Talon King Ikiss
Elemental,Back,PreRaid,Shawl of Shifting Probabilities,Dungeon Token,,,,93 Armor; 18 Sta; 16 Int; 21 Healing; 21 Spell Dmg; 22 Spell Crit,25 Badges of Justice
Elemental,Chest,PreRaid,Netherstrike Breastplate,Auction House,,,,846 Armor; 34 Sta; 23 Int; 37 Healing; 37 Spell Dmg; 8 MP5; 32 Spell Crit,
Elemental,Chest,PreRaid,Will of Edward the Odd,Auction House,,,,170 Armor; 30 Int; 53 Healing; 53 Spell Dmg; 30 Spell Crit,World Drop
Elemental,Chest,PreRaid,Windhawk Hauberk,Auction House,,,,"379 Armor; 28 Sta; 29 Int; 29 Spi; 42 Healing; 14 Spell Dmg; 8 MP5; 19 Spell Crit

Equip: Increases damage and healing done by magical spells and effects by up to 32",
Elemental,Chest,PreRaid,Mana-Etched Vestments,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,156 Armor; 25 Sta; 25 Int; 29 Healing; 29 Spell Dmg; 35 Spell Hit; 17 Spell Crit,Epoch Hunter
Elemental,Wrist,PreRaid,Bracers of Havok,Auction House,,,,67 Armor; 12 Int; 30 Healing; 30 Spell Dmg,
Elemental,Wrist,PreRaid,Netherstrike Bracers,Auction House,,,,355 Armor; 13 Sta; 13 Int; 20 Healing; 20 Spell Dmg; 6 MP5; 17 Spell Crit,
Elemental,Wrist,PreRaid,Windhawk Bracers,Auction House,,,,"159 Armor; 22 Sta; 17 Int; 7 Spi; 31 Healing; 11 Spell Dmg; 8 MP5; 16 Spell Crit

Equip: Increases damage and healing done by magical spells and effects by up to 16",
